phase,session_id,owner,class,estimated_bytes,item_count,storage,notes
"after_create_session_owner_profile",1,"translator.normal_codes","shared",0,424,"compact_table.has_code","normal code membership delegated to compact storage lookup"
"after_create_session_owner_profile",1,"prism.double_array_units","mmap_file_backed",7168,1792,"byte_backed:mmap","prism double-array units are read directly from the byte source"
"after_create_session_owner_profile",1,"prism.spelling_map","mmap_file_backed",24244,1166,"byte_backed:mmap","prism spelling descriptors are read lazily from the byte source"
"after_create_session_owner_profile",1,"prism.corrections_tolerance","heap_owned_required",48,0,"Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>","parsed prism correction/tolerance payload retained on heap"
"after_create_session_owner_profile",1,"prism.tips_payload","mmap_file_backed",0,0,"byte_backed:mmap","prism descriptor tips remain in the byte source"
"after_create_session_owner_profile",1,"poet.entries_by_code","heap_owned_reducible",18694662,513353,"Vec<ModelEntry>","sentence model entries cloned from table rows"
"after_create_session_owner_profile",1,"poet.lookup_index","heap_owned_guarded",2660848,332604,"SentenceLookupIndex","sorted code-range index used by M40 sentence lookup"
"after_create_session_owner_profile",1,"poet.vocabulary","heap_owned_reducible",53644752,421966,"Vec<ModelVocabularyEntry>","normal preset vocabulary used by upstream sentence graph"
"after_create_session_owner_profile",1,"poet.abbreviation_vocabulary","heap_owned_reducible",1433,11,"Vec<ModelVocabularyEntry>","abbreviation-only vocabulary used by M42 guard rows"
"after_create_session_owner_profile",1,"schema.config","overlap_estimate",1654,2,"schema_reload_signature","deployed YAML config is parsed transiently; retained bytes are reload signatures"
"after_create_session_owner_profile",1,"schema.processors","heap_owned_guarded",2599,2,"SessionState processors","processor and segmentor state installed from the selected schema"
"after_create_session_owner_profile",1,"session.userdb","heap_owned_guarded",24,0,"UserDb","per-session learned entries; empty in clean native benchmark runs"
"after_create_session_owner_profile",1,"runtime.session_state","heap_owned_guarded",3166,1,"SessionState","active native session runtime shell excluding shared translator internals"
"final_owner_profile",1,"reverse_lookup.entries","shared_or_overlapping",0,0,"lazy_unloaded","lazy reverse-lookup dictionary is not retained until used"
"final_owner_profile",1,"reverse_lookup.comments_index","shared_or_overlapping",0,0,"lazy_unloaded","lazy reverse-comment side index is not retained until used"
"final_owner_profile",1,"reverse_lookup.config","heap_owned_required",40,1,"ReverseLookupTranslator","prefix/suffix/tag/comment-format state for the reverse lookup translator"
"final_owner_profile",1,"translator.entries_by_code","shared",0,0,"compact_table","compact storage path does not retain a translator BTreeMap"
"final_owner_profile",1,"compact_table.syllabary_codes","heap_owned_reducible",13685,424,"Vec<String>","canonical code list retained for prism lookup"
"final_owner_profile",1,"compact_table.syllable_ids_by_code","heap_owned_reducible",15757,424,"HashMap<String, usize>","rsmarisa lookup side map retained on heap"
"final_owner_profile",1,"compact_table.storage","mmap_file_backed",13013460,498564,"byte_backed:mmap","rsmarisa table bytes are excluded from heap-owned branch triggers when mapped"
"final_owner_profile",1,"compact_table.candidate_text_payload","shared_or_overlapping",13013460,498564,"byte_backed","candidate text payload; byte-backed rows overlap compact_table.storage"
"final_owner_profile",1,"compact_table.candidate_comment_payload","shared_or_overlapping",0,498564,"byte_backed","candidate raw comments/code payload; byte-backed rows overlap compact_table.storage"
"final_owner_profile",1,"compact_table.stems","heap_owned_required",48,0,"HashMap<String, Vec<String>>","retained phrase-code stems needed for lookup records and dictionary panels"
"final_owner_profile",1,"compact_table.lookup_records","shared",0,0,"none","no lookup-record payload retained for this compact table"
"final_owner_profile",1,"compact_table.corrections_tolerance","heap_owned_required",0,0,"Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>","retained correction/tolerance payload required by TypeDuck fuzzy input behavior"
"final_owner_profile",1,"compact_table.dict_settings","heap_owned_required",24,0,"BTreeMap<String, String>","retained dictionary settings parsed from deployed dictionary metadata"
"final_owner_profile",1,"compact_table.preset_vocabulary","heap_owned_required",0,0,"Vec<PresetVocabularyEntry>","retained preset vocabulary weights when the selected dictionary includes vocabulary packs"
"final_owner_profile",1,"translator.normal_codes","shared",0,424,"compact_table.has_code","normal code membership delegated to compact storage lookup"
"final_owner_profile",1,"prism.double_array_units","mmap_file_backed",7168,1792,"byte_backed:mmap","prism double-array units are read directly from the byte source"
"final_owner_profile",1,"prism.spelling_map","mmap_file_backed",24244,1166,"byte_backed:mmap","prism spelling descriptors are read lazily from the byte source"
"final_owner_profile",1,"prism.corrections_tolerance","heap_owned_required",48,0,"Vec<RimeCorrectionEntry> + Vec<RimeToleranceRule>","parsed prism correction/tolerance payload retained on heap"
"final_owner_profile",1,"prism.tips_payload","mmap_file_backed",0,0,"byte_backed:mmap","prism descriptor tips remain in the byte source"
"final_owner_profile",1,"poet.entries_by_code","heap_owned_reducible",18694662,513353,"Vec<ModelEntry>","sentence model entries cloned from table rows"
"final_owner_profile",1,"poet.lookup_index","heap_owned_guarded",2660848,332604,"SentenceLookupIndex","sorted code-range index used by M40 sentence lookup"
"final_owner_profile",1,"poet.vocabulary","heap_owned_reducible",53644752,421966,"Vec<ModelVocabularyEntry>","normal preset vocabulary used by upstream sentence graph"
"final_owner_profile",1,"poet.abbreviation_vocabulary","heap_owned_reducible",1433,11,"Vec<ModelVocabularyEntry>","abbreviation-only vocabulary used by M42 guard rows"
"final_owner_profile",1,"schema.config","overlap_estimate",1654,2,"schema_reload_signature","deployed YAML config is parsed transiently; retained bytes are reload signatures"
"final_owner_profile",1,"schema.processors","heap_owned_guarded",2599,2,"SessionState processors","processor and segmentor state installed from the selected schema"
"final_owner_profile",1,"session.userdb","heap_owned_guarded",24,0,"UserDb","per-session learned entries; empty in clean native benchmark runs"
"final_owner_profile",1,"runtime.session_state","heap_owned_guarded",3166,1,"SessionState","active native session runtime shell excluding shared translator internals"
